epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,11776.1,0.80116,0.54991,0.89977,0.7816,0.73329,0.80728,0.58737,0.94854,0.72928,0.98633,0.0004754,0.0004754,0.0004754
79,11927,0.79304,0.55133,0.89691,0.78414,0.73678,0.80958,0.58647,0.95202,0.72628,0.98646,0.0004556,0.0004556,0.0004556
80,12077.9,0.78942,0.54552,0.89905,0.79635,0.73487,0.80981,0.58574,0.953,0.72898,0.98704,0.0004358,0.0004358,0.0004358
81,12228.7,0.78103,0.54553,0.89845,0.79397,0.73741,0.80906,0.58766,0.9475,0.73133,0.98115,0.000416,0.000416,0.000416
82,12379.6,0.78184,0.53778,0.89345,0.7816,0.7485,0.80897,0.58573,0.95114,0.73682,0.98519,0.0003962,0.0003962,0.0003962
83,12530.4,0.77691,0.53444,0.89373,0.79062,0.73202,0.80848,0.58529,0.95889,0.73538,0.9927,0.0003764,0.0003764,0.0003764
84,12681.4,0.77502,0.53163,0.89277,0.7861,0.74058,0.80926,0.59006,0.94526,0.72206,0.98328,0.0003566,0.0003566,0.0003566
85,12832.3,0.77048,0.52544,0.88875,0.78159,0.74913,0.80957,0.593,0.92916,0.71252,0.97454,0.0003368,0.0003368,0.0003368
86,12983.5,0.76185,0.52158,0.88662,0.79324,0.74251,0.81121,0.58918,0.94199,0.71712,0.98557,0.000317,0.000317,0.000317
87,13134.5,0.76127,0.52348,0.88952,0.79783,0.74004,0.81038,0.58801,0.94473,0.72127,0.98921,0.0002972,0.0002972,0.0002972
88,13285.6,0.76329,0.5183,0.89068,0.77973,0.74248,0.80879,0.59141,0.93837,0.70635,0.98401,0.0002774,0.0002774,0.0002774
89,13436.8,0.76077,0.51911,0.88512,0.7923,0.73329,0.80439,0.58952,0.9306,0.72338,0.98008,0.0002576,0.0002576,0.0002576
90,13587.9,0.75455,0.5107,0.88577,0.78782,0.73551,0.80488,0.59116,0.93668,0.72064,0.98263,0.0002378,0.0002378,0.0002378
91,13739.7,0.75177,0.51735,0.8842,0.78364,0.72949,0.80127,0.58391,0.94815,0.731,0.98641,0.000218,0.000218,0.000218
92,13890.1,0.74229,0.50049,0.88031,0.79775,0.7203,0.80223,0.58424,0.93689,0.72076,0.98486,0.0001982,0.0001982,0.0001982
93,14040.4,0.73385,0.49503,0.88059,0.77932,0.73868,0.80563,0.5881,0.92843,0.71235,0.97843,0.0001784,0.0001784,0.0001784
94,14190.6,0.73707,0.49577,0.88127,0.79158,0.73266,0.80933,0.59067,0.93953,0.71168,0.98354,0.0001586,0.0001586,0.0001586
95,14340.8,0.72673,0.49083,0.87633,0.78105,0.74311,0.81008,0.58924,0.94166,0.71438,0.98402,0.0001388,0.0001388,0.0001388
96,14490.9,0.7177,0.48366,0.87449,0.77795,0.74796,0.80764,0.59204,0.93586,0.70848,0.98294,0.000119,0.000119,0.000119
97,14641.2,0.72344,0.48443,0.87225,0.78217,0.74533,0.80763,0.59015,0.94177,0.70725,0.98551,9.92e-05,9.92e-05,9.92e-05
98,14791.5,0.71674,0.4829,0.87031,0.78218,0.74469,0.80856,0.59065,0.937,0.71106,0.98279,7.94e-05,7.94e-05,7.94e-05
99,14941.7,0.71656,0.47868,0.8718,0.77809,0.74858,0.80999,0.59188,0.93579,0.70817,0.98285,5.96e-05,5.96e-05,5.96e-05
100,15091.9,0.71718,0.47605,0.87352,0.77973,0.74184,0.80915,0.59114,0.93734,0.7088,0.98403,3.98e-05,3.98e-05,3.98e-05
